DATASET,CULTURE,PERCENT,MODEL,ERR_0,STD_ERR_0,ERR_1,STD_ERR_1,ERR_2,STD_ERR_2,ERR,STD_ERR,WERR,STD_WERR,CIC,STD_CIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INDIAN,,,,,,,,,,,,,,,,C_0,,ERR_0_i,ERR_0,STD_0,C_1,,ERR_1_i,ERR_1,STD_1,C2,,ERR_2_i,ERR_2,STD_2,,ERR_i,ERR,ERR_STD,,MIN_i,MIN,MIN_STD,,CIC_i,CIC,STD_CIC
,,,NOAUG BAL,30.1,3.66666666666667,28.3,5.83630876496438,8.95,1.62361051706101,22.2222222222222,2.87228132326901,,,13.5,3.06312194490894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB,19,2.12132034355964,16.5,0.707106781186548,7,0.707106781186548,14.1666666666667,0.707106781186548,,,7.16666666666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB g=0.0001,21.1666666666667,3.40036762718386,21.4444444444444,3.60073295007805,9.38888888888889,2.14734978778752,17.3333333333333,1.62873502380767,,,7.94444444444444,2.8161242081193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL,28.5,5.26782687642637,22.5,2.17944947177034,9.66666666666667,3.21455025366432,20.2222222222222,2.9876288132775,,,10.5555555555556,2.52395926480012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL g=0.0001,29.5,3.08220700148449,24.3888888888889,2.736075859897,9.88888888888889,2.55902542213068,21.2592592592593,1.70398045256278,,,11.3703703703704,2.23882685328999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION IMB,22.5,#DIV/0!,21.5,#DIV/0!,9.5,#DIV/0!,17.8333333333333,#DIV/0!,,,8.33333333333333,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION BAL,22.5,4.45346307196246,22.2857142857143,2.95602693460246,9.21428571428571,2.99801521645492,18,2.52762514801718,,,8.78571428571429,2.53624519369474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT NOAUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT STD_AUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY MIN PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
